Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
trimmed_trimmomatic | fastqc_results | Control_MNP_III_S56_L002_R2_paired	9.58431129310054	40.0	150.14915372981017	151	9.090909090909092	131.86066499999998
trimmed_trimmomatic | fastqc_results | Control_MNP_III_S56_L002_R2_unpaired	4.833448796660363	44.0	137.1973531447296	151	27.27272727272727	0.35400499999999996
trimmed_trimmomatic | fastqc_results | Control_MNP_II_S55_L002_R1_paired	9.121336315226856	39.0	150.30521597241366	151	9.090909090909092	126.051932
trimmed_trimmomatic | fastqc_results | Control_MNP_II_S55_L002_R1_unpaired	3.1620881782105386	43.0	143.42421060671057	151	9.090909090909092	1.400981
trimmed_trimmomatic | fastqc_results | Control_MNP_II_S55_L002_R2_paired	9.393116728586122	39.0	150.07385852681733	151	9.090909090909092	126.051932
trimmed_trimmomatic | fastqc_results | Control_MNP_II_S55_L002_R2_unpaired	3.664565458423084	43.0	136.09773954485564	151	27.27272727272727	0.301311
trimmed_trimmomatic | fastqc_results | Control_MNP_I_S54_L002_R1_paired	8.887812499857006	39.0	150.30311489628946	151	9.090909090909092	123.75403999999999
trimmed_trimmomatic | fastqc_results | Control_MNP_I_S54_L002_R1_unpaired	2.9971744654554584	43.0	143.03167242260798	151	9.090909090909092	1.277231
trimmed_trimmomatic | fastqc_results | Control_MNP_I_S54_L002_R2_paired	9.147922946923032	39.0	150.1116413088413	151	9.090909090909092	123.75403999999999
trimmed_trimmomatic | fastqc_results | Control_MNP_I_S54_L002_R2_unpaired	4.32135324391956	44.0	136.8344668825808	151	27.27272727272727	0.31494
trimmed_trimmomatic | fastqc_results | Only_MNP_C1_S57_L002_R1_paired	8.905719597382898	39.0	150.29939978588843	151	9.090909090909092	112.86639
trimmed_trimmomatic | fastqc_results | Only_MNP_C1_S57_L002_R1_unpaired	3.022291573302809	43.0	142.40624506297024	151	9.090909090909092	1.095041
trimmed_trimmomatic | fastqc_results | Only_MNP_C1_S57_L002_R2_paired	9.313524787196684	40.0	150.11392067204417	151	9.090909090909092	112.86639
trimmed_trimmomatic | fastqc_results | Only_MNP_C1_S57_L002_R2_unpaired	4.174990810839361	43.0	136.8058594159376	151	27.27272727272727	0.276717
trimmed_trimmomatic | fastqc_results | Only_MNP_C2_S58_L002_R1_paired	9.12883567942093	39.0	150.30506932997912	151	9.090909090909092	120.3664
trimmed_trimmomatic | fastqc_results | Only_MNP_C2_S58_L002_R1_unpaired	2.1194635905452515	43.0	141.404909604429	151	9.090909090909092	1.058293
trimmed_trimmomatic | fastqc_results | Only_MNP_C2_S58_L002_R2_paired	9.345152337675827	39.0	150.13424527110556	151	9.090909090909092	120.3664
trimmed_trimmomatic | fastqc_results | Only_MNP_C2_S58_L002_R2_unpaired	2.5951031165081275	42.0	136.4144389216147	151	18.181818181818183	0.299967
